sutra_ref	sutra_id	final_form	dhatu_root	dhatu_meaning	gana	wiki_target	chain
4.1.54	41054	चन्द्रमुखी	असंयोग	उपधावाले, उपसर्जन, स्वाङ्गवाची, अकारान्त मुख			चन्द्रमुखी। चन्द्र+मुख+ ङीष्। चन्द्रमुखी + सु। चन्द्रमुखी।
4.1.55	41055	तुङ्गनासिकी	उपसर्जन	स्वाङ्गवाची नासिका			तुङ्गनासिकी। तुङ्गा+नासिका। तुङ्गनासिक+ङीष्। तुङ्गनासिकी+सु। तुङ्गनासिकी।
4.1.55	41055	तुङ्गनासिका	विकल्प	पक्ष			तुङ्गनासिका। तुङ्गा+नासिका। तुङ्गनासिक+टाप्। तुङनासिका+सु। तुङ्गनासिका।
4.1.56	41056	कल्याणक्रोडा	उपसर्जन	स्वाङ्गवाची क्रोड-अन्तवाले प्रातिपदिक			कल्याणक्रोडा। कल्याण+क्रोड। कल्याणक्रोड+टाप्। कल्याणक्रोडा+सु। कल्याणकांडा।
4.1.56	41056	पृथुजघना	उपरार्जन	स्वाङ्गवाची बहु-अच् पद अन्तवाले प्रातिपदिक			पृथुजघना। पृथु+जघन। पृथुजघन+टाप्। पृथुजघना+सु। पृथुजघना।
4.1.57	41057	सकेशा	सह	पूर्वक उपसर्जन, स्वाङ्गवाची			सकेशा। सह+केश। स+केश। सकेश+टाप्। राकेशा+सु। सकेशा।
4.1.57	41057	अकेशा	पूर्ववत्	ङीष् प्रत्यय			अकेशा। नञ्+केश। अकेश+टाप्। अकेशा+सु। अकेशा,।
4.1.60	41060	प्राङ्मुखी	दिशावाची	प्राक्			प्राङ्मुखी। प्राक्+मुख। प्राङ्मुख+डी। प्राक्मुखी+सु। प्राङ्मुखी।
4.1.60	41060	प्राङ्मुखा	स्वाङ्गाच्चोपसर्जनाद०	की विधि			प्राङ्मुखा। प्राक्+मुख। प्राङ्मुख+टाप्। प्राङ्मुखा+सु। प्राङ्मुखा।
4.1.62	41062	सखी	सखि	शब्द			सखी। सखि+ङीष्। सखि+ई। सखी+सु। सखी॥
4.1.62	41062	अशिश्वी	अशिश	शब्द			अशिश्वी। न+शिशु। अ+शिशु। अशिशु+ङीष्। अशिश्व्+ई। अशिश्वी+सु। अशिश्वी।
4.1.65	41065	अवन्ती	अवन्ति	शब्द			अवन्ती। अवन्ति-व्यङ्। अवन्ति+०। अवन्ति+ङीष्। अवन्ती+सु। अवन्ती।
4.1.66	41066	कुरू	कुरु	शब्द			कुरू:। कुरु+ण्य। कुरु+०। कुरु+ऊड्। कुरू+सु। कुरूः।
4.1.72	41072	कद्रूः	कद्रु	शब्द			कद्रूः। कद्रु+ऊङ्। कद्रू+सु। कद्रूः।
